tweet_id,user_id,tweet_text,followers_count,following_count,tweet_count,listed_count,hashtags,mentions,user_description,retweet_count,reply_count,like_count,quote_count,created_at,label
1.54E+18,1.38E+18,i hate my life https://t.co/iKqwlA23ft,605,474,6715,6,0,0,i believe in pixy and kingdom supremacy,33,7,123,10,2022-06-15 06:45:26+00:00,1
1.54E+18,1.38E+18,"There are notable differences between us, but they're nothing for me to be ashamed of. Because...with my talent, it's possible that I can save you all.",5,1,23148,0,0,0,bot made by @GNCbinary ! I am programmed to remind you to take care of yourself every 10 minutes. 🤖,0,0,0,0,2022-06-19 03:15:47+00:00,0
1.54E+18,8.05E+17,"I keep having this reoccurring bad dream. It always makes me sooo pissed when I wake up. So, instead of be a morning B and being unreasonable to the ones I love... I like to sit in the garage until I'm feeling better🙃 https://t.co/1AKnVGAgcy",4324,4987,3039,30,0,0,"author | rep. @MaximusLiterary |
omnist | PanWitch | 
addicted to life✌🏼🔆 
#WritingCommunity",1,1,8,0,2022-06-17 14:38:49+00:00,1
1.54E+18,1.38E+18,"I dont want to make yall think im seeking for attention (yes, indeed) and overdramatic....because yes i am. Because that how insecure and lack of love of me 

I hate to admit but want to declare that i had this talk to mom before and she know i am unstable.yet she ignore the fact",7,56,995,0,0,0,"loving #StrayKids is undeniable 
👁️👄👁️",0,1,0,0,2022-06-14 18:32:30+00:00,1
1.54E+18,1.42E+18,"@Andyb56 @ashlea_robyn People like you dont deserve the country you were raised in. Its people like you who turned a blind eye to the industrial scale sexual assault of children in places like Rotherham 'for the sake of diversity' and why 70 million pounds a DAY are spend in hotel bills.
Pfffft! https://t.co/3QshrHX9ZI",2918,4967,10043,3,0,1,I am a happy-go-lucky kind of man. Happy to chat and discuss any issue. Proud Conservative and anti Woke.🇬🇧🇺🇸 #Patriot #MAGA #BacktheBlue,0,0,3,0,2022-06-18 19:01:59+00:00,0
1.54E+18,1.02E+18,"Royan Institute, provides comprehensive services for the infertility treatment, regenerative medicine/cell therapy, production of recombinant proteins and development of biological products by its mighty scientists and is in the list of world bests.
#IranInReality
#Iran https://t.co/Fq1lxv1Ion",2210,2491,10905,2,1,0,متولد اربعین ۱۴۱۹، معتقدم در هیچ زمان و هیچ مکانی، مثلِ امام حسین (ع) با مثلِ یزید بیعت نمیکند.,64,1,101,1,2022-06-19 08:41:23+00:00,0
1.54E+18,1.35E+18,"🧮
So there is no modern Calculator-Emoji?
I feel numerically discriminated against
#calculatorlivesmatter
(does that make me a Rad-ical? 
Like a Texas Instrument-84 Degrees-Deg-enerate?) https://t.co/HBaBdibFqV",12,30,19094,0,1,0,"Behold. The Field in in which i grow my Fucks, as thou shalt lay thy Eyes upon it and see, that it lays barren. I hate Racists.",0,1,0,0,2022-06-19 12:05:55+00:00,0
1.54E+18,1.47E+18,"Life update:
-I think Bro doesnt like me as much
-I’m just as tired as i was during school
-i feel i un athletic
-hopeless
-thinking bout texting someone I haven’t texted in a while
-unemployed",2,22,46,0,0,0,,0,0,0,0,2022-06-19 02:18:28+00:00,1
1.54E+18,1.01E+18,Taking a moment to appreciate the only not dissapointment thing in my life! #coldcoffee https://t.co/7Ni6ofeAA2,212,132,386,1,1,0,"Human ,Human ,All too Human",0,0,1,0,2022-06-19 12:53:11+00:00,0
1.54E+18,1.52E+18,"It’s sad how misogyny only allows compassion for women when they’re at their lowest. Less than 1% of r*pists are prosecuted, and even then if the woman isn’t crying, bloodied, bruised, depressed, anxious, and on her last limb, she’s automatically assumed ok and therefore a liar. https://t.co/e6FZlNnZ9h",6,21,436,0,0,0,Artist • Activist • 18 🖤 (he/they) IG: @detre.ll https://t.co/R6ZMZv0Ryi,0,0,0,0,2022-06-19 19:40:16+00:00,0
